L,AMJ,MJJ,JJA,JAS,ASO,SON,OND
OBS,0.25675,0.281245,0.401165,0.576438,0.797956,1.057599,1.304206
1.5,0.4478955229775868,0.6118403363712643,0.872674358070691,1.076378834112644,1.300053563272413,1.599573088784483,1.967988713033331
2.5,0.6831045738942538,0.6133504599000001,0.8878463173097704,1.1251729563913806,1.2995521059735655,1.5382850629540228,1.8271191941362084
3.5,0.7088691149402306,0.7373360370132183,0.7764951985706893,1.002295473912071,1.1753370279241395,1.3626708889712635,1.5947373096948292
4.5,0.6912072652212646,0.6428557115775873,0.7964388583482783,0.8259344798580447,1.0053085288293109,1.212476802721841,1.4374592835005735
5.5,0.7503099194224129,0.5593217283965505,0.6575631730591952,0.7996974467436798,0.8155071196919531,1.0339193207109203,1.2646036467637956
6.5,0.6870062625183924,0.608205676139655,0.5293632554494253,0.6557277121632172,0.7854846173511487,0.8317464264712621,1.0728977842120708
7.5,0.6473455046528753,0.5906440686316102,0.5674422500856326,0.5060151101982757,0.642191577883332,0.8081499490195412,0.8585188375402295
8.5,0.562050677194253,0.5570967953517239,0.5764160836781617,0.5396868458701161,0.4767008621212636,0.6623431041390796,0.8325624062712619
9.5,0.6022716669051722,0.5063643679712639,0.5485526899068982,0.5435736417183921,0.5048325681965522,0.4750874104563213,0.67526956645287
10.5,0.6734440165637949,0.5282942192212637,0.5136593509448264,0.5381309180517246,0.491449790471839,0.4851729335137931,0.4860004470362071
