L,MON,SZN,TAR,LDC_SST_GEM5_NEMO,OBS_NINO3.4_L3,BIAS,BIAS_ABS
5.5,1991-01-01,MJJ,1991-06-15,25.503900000000044,28.166666666666668,-2.6627666666666236,2.6627666666666236
4.5,1991-02-01,MJJ,1991-06-15,25.96260000000001,28.166666666666668,-2.204066666666659,2.204066666666659
3.5,1991-03-01,MJJ,1991-06-15,26.63760000000002,28.166666666666668,-1.5290666666666475,1.5290666666666475
2.5,1991-04-01,MJJ,1991-06-15,26.840400000000045,28.166666666666668,-1.3262666666666227,1.3262666666666227
1.5,1991-05-01,MJJ,1991-06-15,27.5197,28.166666666666668,-0.6469666666666676,0.6469666666666676
10.5,1993-11-01,ASO,1994-09-15,22.450400000000002,27.35,-4.8995999999999995,4.8995999999999995
9.5,1993-12-01,ASO,1994-09-15,22.658600000000035,27.35,-4.691399999999966,4.691399999999966
8.5,1994-01-01,ASO,1994-09-15,23.20300000000003,27.35,-4.14699999999997,4.14699999999997
7.5,1994-02-01,ASO,1994-09-15,23.07650000000001,27.35,-4.273499999999991,4.273499999999991
6.5,1994-03-01,ASO,1994-09-15,23.78630000000004,27.35,-3.5636999999999617,3.5636999999999617
5.5,1994-04-01,ASO,1994-09-15,24.0693,27.35,-3.280700000000003,3.280700000000003
4.5,1994-05-01,ASO,1994-09-15,24.54690000000005,27.35,-2.803099999999951,2.803099999999951
3.5,1994-06-01,ASO,1994-09-15,24.920000000000016,27.35,-2.4299999999999855,2.4299999999999855
2.5,1994-07-01,ASO,1994-09-15,25.568900000000042,27.35,-1.7810999999999595,1.7810999999999595
1.5,1994-08-01,ASO,1994-09-15,25.75400000000002,27.35,-1.5959999999999823,1.5959999999999823
10.5,1996-07-01,AMJ,1997-05-15,24.73720000000003,28.459999999999997,-3.7227999999999675,3.7227999999999675
9.5,1996-08-01,AMJ,1997-05-15,25.109200000000044,28.459999999999997,-3.3507999999999534,3.3507999999999534
8.5,1996-09-01,AMJ,1997-05-15,25.04940000000005,28.459999999999997,-3.410599999999949,3.410599999999949
7.5,1996-10-01,AMJ,1997-05-15,25.099300000000028,28.459999999999997,-3.3606999999999694,3.3606999999999694
6.5,1996-11-01,AMJ,1997-05-15,25.373800000000017,28.459999999999997,-3.0861999999999803,3.0861999999999803
5.5,1996-12-01,AMJ,1997-05-15,25.380700000000047,28.459999999999997,-3.07929999999995,3.07929999999995
4.5,1997-01-01,AMJ,1997-05-15,25.968000000000018,28.459999999999997,-2.4919999999999796,2.4919999999999796
3.5,1997-02-01,AMJ,1997-05-15,26.474800000000016,28.459999999999997,-1.9851999999999812,1.9851999999999812
2.5,1997-03-01,AMJ,1997-05-15,27.148500000000013,28.459999999999997,-1.3114999999999846,1.3114999999999846
1.5,1997-04-01,AMJ,1997-05-15,27.52720000000005,28.459999999999997,-0.932799999999947,0.932799999999947
10.5,2001-08-01,MJJ,2002-06-15,25.04110000000003,28.236666666666668,-3.1955666666666396,3.1955666666666396
9.5,2001-09-01,MJJ,2002-06-15,24.65980000000002,28.236666666666668,-3.5768666666666498,3.5768666666666498
8.5,2001-10-01,MJJ,2002-06-15,24.8673,28.236666666666668,-3.369366666666668,3.369366666666668
7.5,2001-11-01,MJJ,2002-06-15,25.15530000000001,28.236666666666668,-3.081366666666657,3.081366666666657
6.5,2001-12-01,MJJ,2002-06-15,25.116800000000012,28.236666666666668,-3.119866666666656,3.119866666666656
5.5,2002-01-01,MJJ,2002-06-15,25.402500000000032,28.236666666666668,-2.8341666666666363,2.8341666666666363
4.5,2002-02-01,MJJ,2002-06-15,25.80370000000005,28.236666666666668,-2.432966666666619,2.432966666666619
3.5,2002-03-01,MJJ,2002-06-15,25.864599999999996,28.236666666666668,-2.3720666666666723,2.3720666666666723
2.5,2002-04-01,MJJ,2002-06-15,26.50600000000003,28.236666666666668,-1.7306666666666395,1.7306666666666395
1.5,2002-05-01,MJJ,2002-06-15,26.952600000000018,28.236666666666668,-1.28406666666665,1.28406666666665
10.5,2003-09-01,JJA,2004-07-15,24.115200000000016,27.753333333333337,-3.6381333333333217,3.6381333333333217
9.5,2003-10-01,JJA,2004-07-15,24.0231,27.753333333333337,-3.730233333333338,3.730233333333338
8.5,2003-11-01,JJA,2004-07-15,24.093000000000018,27.753333333333337,-3.6603333333333197,3.6603333333333197
7.5,2003-12-01,JJA,2004-07-15,23.921100000000024,27.753333333333337,-3.8322333333333134,3.8322333333333134
6.5,2004-01-01,JJA,2004-07-15,24.641099999999994,27.753333333333337,-3.112233333333343,3.112233333333343
5.5,2004-02-01,JJA,2004-07-15,24.79340000000002,27.753333333333337,-2.9599333333333178,2.9599333333333178
4.5,2004-03-01,JJA,2004-07-15,24.628800000000012,27.753333333333337,-3.124533333333325,3.124533333333325
3.5,2004-04-01,JJA,2004-07-15,25.50780000000003,27.753333333333337,-2.245533333333306,2.245533333333306
2.5,2004-05-01,JJA,2004-07-15,25.444800000000043,27.753333333333337,-2.308533333333294,2.308533333333294
1.5,2004-06-01,JJA,2004-07-15,26.181100000000015,27.753333333333337,-1.5722333333333225,1.5722333333333225
10.5,2005-11-01,ASO,2006-09-15,23.53520000000003,27.296666666666667,-3.761466666666635,3.761466666666635
9.5,2005-12-01,ASO,2006-09-15,23.688500000000033,27.296666666666667,-3.6081666666666337,3.6081666666666337
8.5,2006-01-01,ASO,2006-09-15,23.947400000000016,27.296666666666667,-3.349266666666651,3.349266666666651
7.5,2006-02-01,ASO,2006-09-15,23.77260000000001,27.296666666666667,-3.5240666666666556,3.5240666666666556
6.5,2006-03-01,ASO,2006-09-15,24.12270000000001,27.296666666666667,-3.173966666666658,3.173966666666658
5.5,2006-04-01,ASO,2006-09-15,24.385500000000036,27.296666666666667,-2.911166666666631,2.911166666666631
4.5,2006-05-01,ASO,2006-09-15,25.190200000000004,27.296666666666667,-2.1064666666666625,2.1064666666666625
3.5,2006-06-01,ASO,2006-09-15,25.243300000000033,27.296666666666667,-2.0533666666666335,2.0533666666666335
2.5,2006-07-01,ASO,2006-09-15,25.925800000000038,27.296666666666667,-1.370866666666629,1.370866666666629
1.5,2006-08-01,ASO,2006-09-15,26.17410000000001,27.296666666666667,-1.122566666666657,1.122566666666657
10.5,2008-09-01,JJA,2009-07-15,24.040200000000027,27.74666666666667,-3.7064666666666426,3.7064666666666426
9.5,2008-10-01,JJA,2009-07-15,24.25260000000003,27.74666666666667,-3.4940666666666402,3.4940666666666402
8.5,2008-11-01,JJA,2009-07-15,23.834400000000016,27.74666666666667,-3.9122666666666532,3.9122666666666532
7.5,2008-12-01,JJA,2009-07-15,24.340300000000013,27.74666666666667,-3.4063666666666563,3.4063666666666563
6.5,2009-01-01,JJA,2009-07-15,24.751300000000015,27.74666666666667,-2.995366666666655,2.995366666666655
5.5,2009-02-01,JJA,2009-07-15,24.861500000000035,27.74666666666667,-2.8851666666666347,2.8851666666666347
4.5,2009-03-01,JJA,2009-07-15,24.775000000000034,27.74666666666667,-2.9716666666666356,2.9716666666666356
3.5,2009-04-01,JJA,2009-07-15,25.650599999999997,27.74666666666667,-2.0960666666666725,2.0960666666666725
2.5,2009-05-01,JJA,2009-07-15,26.44530000000003,27.74666666666667,-1.3013666666666381,1.3013666666666381
1.5,2009-06-01,JJA,2009-07-15,27.15530000000001,27.74666666666667,-0.5913666666666586,0.5913666666666586
10.5,2013-12-01,SON,2014-10-15,24.16300000000001,27.210000000000004,-3.0469999999999935,3.0469999999999935
9.5,2014-01-01,SON,2014-10-15,24.443700000000035,27.210000000000004,-2.766299999999969,2.766299999999969
8.5,2014-02-01,SON,2014-10-15,25.248199999999997,27.210000000000004,-1.9618000000000073,1.9618000000000073
7.5,2014-03-01,SON,2014-10-15,25.62900000000002,27.210000000000004,-1.5809999999999853,1.5809999999999853
6.5,2014-04-01,SON,2014-10-15,25.773300000000006,27.210000000000004,-1.4366999999999983,1.4366999999999983
5.5,2014-05-01,SON,2014-10-15,26.252300000000048,27.210000000000004,-0.9576999999999565,0.9576999999999565
4.5,2014-06-01,SON,2014-10-15,26.1533,27.210000000000004,-1.0567000000000029,1.0567000000000029
3.5,2014-07-01,SON,2014-10-15,26.362300000000005,27.210000000000004,-0.8476999999999997,0.8476999999999997
2.5,2014-08-01,SON,2014-10-15,26.39680000000004,27.210000000000004,-0.8131999999999628,0.8131999999999628
1.5,2014-09-01,SON,2014-10-15,26.24000000000001,27.210000000000004,-0.9699999999999953,0.9699999999999953
10.5,2017-11-01,ASO,2018-09-15,24.00410000000005,27.25,-3.245899999999949,3.245899999999949
9.5,2017-12-01,ASO,2018-09-15,24.103800000000035,27.25,-3.146199999999965,3.146199999999965
8.5,2018-01-01,ASO,2018-09-15,24.218200000000024,27.25,-3.0317999999999756,3.0317999999999756
7.5,2018-02-01,ASO,2018-09-15,24.908299999999997,27.25,-2.341700000000003,2.341700000000003
6.5,2018-03-01,ASO,2018-09-15,24.82710000000003,27.25,-2.42289999999997,2.42289999999997
5.5,2018-04-01,ASO,2018-09-15,25.727700000000027,27.25,-1.522299999999973,1.522299999999973
4.5,2018-05-01,ASO,2018-09-15,25.932000000000016,27.25,-1.3179999999999836,1.3179999999999836
3.5,2018-06-01,ASO,2018-09-15,25.95270000000005,27.25,-1.2972999999999502,1.2972999999999502
2.5,2018-07-01,ASO,2018-09-15,26.348700000000008,27.25,-0.901299999999992,0.901299999999992
1.5,2018-08-01,ASO,2018-09-15,26.336900000000014,27.25,-0.9130999999999858,0.9130999999999858
