L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage,L_Count,L_Percentage
6,6.0,7,8.235294117647058,28,28.000000000000004,10,11.76470588235294,8,11.428571428571429,5,8.19672131147541,12,15.0,8,11.594202898550725,11,11.0,3,3.5294117647058822,13,13.0,5,5.88235294117647,12,12.0,6,7.0588235294117645,6,7.0588235294117645
4,4.0,4,4.705882352941177,3,3.0,0,0.0,0,0.0,1,1.639344262295082,2,2.5,2,2.898550724637681,1,1.0,1,1.1764705882352942,2,2.0,3,3.5294117647058822,1,1.0,2,2.3529411764705883,2,2.3529411764705883
3,3.0,1,1.1764705882352942,3,3.0,3,3.5294117647058822,0,0.0,2,3.278688524590164,3,3.75,4,5.797101449275362,1,1.0,3,3.5294117647058822,2,2.0,3,3.5294117647058822,0,0.0,1,1.1764705882352942,1,1.1764705882352942
4,4.0,2,2.3529411764705883,2,2.0,3,3.5294117647058822,2,2.857142857142857,2,3.278688524590164,1,1.25,2,2.898550724637681,1,1.0,1,1.1764705882352942,5,5.0,4,4.705882352941177,0,0.0,3,3.5294117647058822,3,3.5294117647058822
8,8.0,5,5.88235294117647,6,6.0,6,7.0588235294117645,4,5.714285714285714,3,4.918032786885246,3,3.75,2,2.898550724637681,1,1.0,6,7.0588235294117645,5,5.0,1,1.1764705882352942,3,3.0,5,5.88235294117647,5,5.88235294117647
4,4.0,1,1.1764705882352942,4,4.0,9,10.588235294117647,3,4.285714285714286,4,6.557377049180328,4,5.0,7,10.144927536231885,4,4.0,4,4.705882352941177,4,4.0,3,3.5294117647058822,5,5.0,5,5.88235294117647,5,5.88235294117647
5,5.0,11,12.941176470588237,7,7.000000000000001,6,7.0588235294117645,4,5.714285714285714,4,6.557377049180328,6,7.5,9,13.043478260869565,10,10.0,5,5.88235294117647,9,9.0,14,16.470588235294116,3,3.0,13,15.294117647058824,13,15.294117647058824
18,18.0,15,17.647058823529413,10,10.0,16,18.823529411764707,18,25.71428571428571,10,16.39344262295082,14,17.5,11,15.942028985507244,20,20.0,23,27.058823529411764,16,16.0,11,12.941176470588237,17,17.0,21,24.705882352941178,21,24.705882352941178
48,48.0,39,45.88235294117647,37,37.0,32,37.64705882352941,31,44.285714285714285,30,49.18032786885246,35,43.75,24,34.78260869565217,51,51.0,39,45.88235294117647,44,44.0,41,48.23529411764706,59,59.0,29,34.11764705882353,29,34.11764705882353
